t,x,xd,xdd,
3.32,-0.0180322,-0.100062,0.0180322,
3.33,-0.0190328,-0.0998816,0.0190328,
3.34,-0.0200316,-0.0996913,0.0200316,
3.35,-0.0210286,-0.099491,0.0210286,
3.36,-0.0220235,-0.0992807,0.0220235,
3.37,-0.0230163,-0.0990605,0.0230163,
3.38,-0.0240069,-0.0988303,0.0240069,
3.39,-0.0249952,-0.0985902,0.0249952,
3.4,-0.0259811,-0.0983403,0.0259811,
3.41,-0.0269645,-0.0980805,0.0269645,
3.42,-0.0279453,-0.0978108,0.0279453,
3.43,-0.0289234,-0.0975314,0.0289234,
3.44,-0.0298987,-0.0972421,0.0298987,
3.45,-0.0308711,-0.0969432,0.0308711,
3.46,-0.0318406,-0.0966344,0.0318406,
3.47,-0.0328069,-0.096316,0.0328069,
3.48,-0.0337701,-0.095988,0.0337701,
3.49,-0.0347299,-0.0956503,0.0347299,
3.5,-0.0356864,-0.095303,0.0356864,
3.51,-0.0366395,-0.0949461,0.0366395,
3.52,-0.0375889,-0.0945797,0.0375889,
3.53,-0.0385347,-0.0942038,0.0385347,
3.54,-0.0394768,-0.0938185,0.0394768,
3.55,-0.040415,-0.0934237,0.040415,
3.56,-0.0413492,-0.0930196,0.0413492,
3.57,-0.0422794,-0.0926061,0.0422794,
3.58,-0.0432055,-0.0921833,0.0432055,
3.59,-0.0441273,-0.0917512,0.0441273,
3.6,-0.0450448,-0.0913099,0.0450448,
3.61,-0.0459579,-0.0908595,0.0459579,
3.62,-0.0468665,-0.0903999,0.0468665,
3.63,-0.0477705,-0.0899313,0.0477705,
3.64,-0.0486698,-0.0894535,0.0486698,
3.65,-0.0495643,-0.0889669,0.0495643,
3.66,-0.050454,-0.0884712,0.050454,
3.67,-0.0513387,-0.0879667,0.0513387,
3.68,-0.0522184,-0.0874533,0.0522184,
3.69,-0.0530929,-0.0869311,0.0530929,
3.7,-0.0539622,-0.0864002,0.0539622,
3.71,-0.0548262,-0.0858605,0.0548262,
3.72,-0.0556848,-0.0853123,0.0556848,
3.73,-0.056538,-0.0847554,0.056538,
3.74,-0.0573855,-0.0841901,0.0573855,
3.75,-0.0582274,-0.0836162,0.0582274,
3.76,-0.0590636,-0.0830339,0.0590636,
3.77,-0.0598939,-0.0824433,0.0598939,
3.78,-0.0607183,-0.0818444,0.0607183,
3.79,-0.0615368,-0.0812372,0.0615368,
3.8,-0.0623492,-0.0806218,0.0623492,
3.81,-0.0631554,-0.0799983,0.0631554,
3.82,-0.0639554,-0.0793668,0.0639554,
3.83,-0.064749,-0.0787272,0.064749,
3.84,-0.0655363,-0.0780797,0.0655363,
3.85,-0.0663171,-0.0774243,0.0663171,
3.86,-0.0670913,-0.0767612,0.0670913,
3.87,-0.067859,-0.0760903,0.067859,
3.88,-0.0686199,-0.0754117,0.0686199,
3.89,-0.069374,-0.0747255,0.069374,
3.9,-0.0701212,-0.0740317,0.0701212,
3.91,-0.0708615,-0.0733305,0.0708615,
3.92,-0.0715949,-0.0726219,0.0715949,
3.93,-0.0723211,-0.071906,0.0723211,
3.94,-0.0730401,-0.0711827,0.0730401,
3.95,-0.073752,-0.0704523,0.073752,
3.96,-0.0744565,-0.0697148,0.0744565,
3.97,-0.0751536,-0.0689703,0.0751536,
3.98,-0.0758433,-0.0682187,0.0758433,
3.99,-0.0765255,-0.0674603,0.0765255,
4,-0.0772001,-0.066695,0.0772001,
4.01,-0.0778671,-0.065923,0.0778671,
4.02,-0.0785263,-0.0651444,0.0785263,
4.03,-0.0791777,-0.0643591,0.0791777,
4.04,-0.0798213,-0.0635673,0.0798213,
4.05,-0.080457,-0.0627691,0.080457,
4.06,-0.0810847,-0.0619645,0.0810847,
4.07,-0.0817043,-0.0611537,0.0817043,
4.08,-0.0823159,-0.0603366,0.0823159,
4.09,-0.0829193,-0.0595135,0.0829193,
4.1,-0.0835144,-0.0586843,0.0835144,
4.11,-0.0841012,-0.0578492,0.0841012,
4.12,-0.0846797,-0.0570081,0.0846797,
4.13,-0.0852498,-0.0561613,0.0852498,
4.14,-0.0858114,-0.0553088,0.0858114,
